,precision,recall,f1-score,support
angry,0.0,0.0,0.0,80.0
disgust,0.0,0.0,0.0,80.0
fear,0.0,0.0,0.0,80.0
happy,0.0,0.0,0.0,80.0
neutral,0.0,0.0,0.0,80.0
pleasant_surprise,0.0,0.0,0.0,80.0
sad,0.0,0.0,0.0,80.0
accuracy,0.0,0.0,0.0,0.0
macro avg,0.0,0.0,0.0,560.0
weighted avg,0.0,0.0,0.0,560.0
