,precision,recall,f1-score,support
angry,1.0,0.9875,0.9937106918238994,80.0
disgust,1.0,1.0,1.0,80.0
fear,0.9876543209876543,1.0,0.9937888198757764,80.0
happy,1.0,1.0,1.0,80.0
neutral,1.0,1.0,1.0,80.0
pleasant_surprise,1.0,1.0,1.0,80.0
sad,1.0,1.0,1.0,80.0
accuracy,0.9982142857142857,0.9982142857142857,0.9982142857142857,0.9982142857142857
macro avg,0.9982363315696648,0.9982142857142857,0.9982142159570966,560.0
weighted avg,0.998236331569665,0.9982142857142857,0.9982142159570966,560.0
