train_speaker,test_speaker,model_name,classifier,accuracy
OAF,YAF,iic/emotion2vec_plus_base,linear_svm_c_0.1_l2,0.9978571428571429
YAF,OAF,iic/emotion2vec_plus_base,linear_svm_c_0.1_l2,0.9992857142857143
