0,1,2,3,4,5,6
135,34,0,13,1,17,0
2,142,0,24,0,11,21
9,0,174,11,0,6,0
97,0,37,32,0,34,0
1,9,0,2,150,5,33
17,0,26,70,0,87,0
4,5,4,18,0,4,165
