0,1,2,3,4,5,6
159,0,1,39,1,0,0
0,200,0,0,0,0,0
0,0,200,0,0,0,0
0,11,0,5,0,184,0
0,0,0,0,200,0,0
0,10,0,0,0,190,0
1,2,0,0,0,0,197
