0,1,2,3,4,5,6
38,1,73,32,51,3,2
61,77,1,4,16,10,31
16,0,151,4,24,0,5
55,31,0,24,43,6,41
25,5,0,5,148,2,15
21,75,3,3,67,23,8
19,15,1,2,14,1,148
