0,1,2,3,4,5,6
163,3,15,0,1,12,6
12,175,4,0,9,0,0
1,0,197,0,0,0,2
28,61,58,0,2,42,9
0,1,0,0,199,0,0
47,36,39,0,21,50,7
14,46,2,0,68,0,70
