0,1,2,3,4,5,6
177,3,8,1,3,3,5
18,169,0,0,13,0,0
0,0,199,0,0,0,1
42,97,28,0,5,24,4
0,2,0,0,198,0,0
54,92,4,0,29,17,4
10,56,0,0,88,0,46
