0,1,2,3,4,5,6
115,27,1,6,5,46,0
0,119,0,32,0,18,31
0,0,178,3,0,19,0
27,1,28,21,1,121,1
0,0,0,4,182,10,4
0,0,6,46,0,148,0
0,0,2,15,15,24,144
