train_speaker,test_speaker,model,classifier,accuracy
OAF,YAF,iic/emotion2vec_plus_base,"LinearSVC(C=0.1, balanced)",0.9978571428571429
YAF,OAF,iic/emotion2vec_plus_base,"LinearSVC(C=0.1, balanced)",0.9992857142857143
