train_speaker,test_speaker,modalities,classifier,accuracy
OAF,YAF,Speech (Emotion2Vec+) + Text (TF-IDF),"LinearSVC(C=0.1, balanced)",0.9978571428571429
YAF,OAF,Speech (Emotion2Vec+) + Text (TF-IDF),"LinearSVC(C=0.1, balanced)",0.9992857142857143
