c,l2_normalize,accuracy
0.1,True,0.8489285714285715
0.3,True,0.8482142857142857
3.0,True,0.8482142857142857
1.0,True,0.8482142857142857
10.0,True,0.8471428571428572
0.03,True,0.8453571428571429
0.001,False,0.8392857142857142
0.01,True,0.8378571428571429
0.003,False,0.8375
0.01,False,0.8371428571428572
0.03,False,0.8367857142857142
0.1,False,0.8367857142857142
0.3,False,0.8367857142857142
1.0,False,0.8367857142857142
3.0,False,0.8367857142857142
10.0,False,0.8367857142857142
0.003,True,0.8189285714285715
0.001,True,0.7982142857142858
