0,1,2,3,4,5,6
193,0,0,0,0,0,7
0,199,0,0,0,0,1
0,0,200,0,0,0,0
165,0,0,0,0,0,35
0,0,0,0,200,0,0
0,0,0,0,0,200,0
0,0,0,0,0,0,200
